nulls,facts,mysqlAdd,mysqlDel,neoAdd,neoDel
0,44157,220.03,187.72,36087.22,136646.02
50,16559,193.56,157.44,3893.99,1098.12
100,24839,269.195,225.63,7020.90,17487.79
190,2248,275.95,249.08,4928.70,3577.80
200,33118,366.92,301.75,20644.67,11287.99
250,82795,629.40,424.68,107003.74,348204.63
340,604,126.80,182.12,11.23,7671.78
380,4496,424.04,397.79,2227.74,551.59
500,49677,651.51,551.69,50469.64,176162.77
680,1208,241.67,218.58,14.08,10842.53
950,11240,1033.38,1023.62,862.11,6160.62
1000,24839,1070.33,952.87,4463.72,13211.21
1183,16559,1217.76,1123.55,1110.46,342.85
1700,3020,699.93,527.02,18.33,8039.31
2000,33118,2552.72,2377.47,3988.53,29848.41
2366,33118,3238.88,3096.79,19504.00,7470.45
2500,82795,3857.16,3642.81,255070.60,311730.92
5000,82795,10543.99,10260.29,379860.59,563152.69
5915,82795,13479.56,13035.27,467582.18,nan